agency_cd	site_no	datetime	61181_00065_00003	61181_00065_00003_cd
USGS	07374525	2009-01-19	11.91	A
USGS	07374525	2009-01-20	11.85	A
USGS	07374525	2009-01-21	11.83	A
USGS	07374525	2009-01-22	11.87	A
USGS	07374525	2009-01-23	11.78	A
USGS	07374525	2009-01-24	11.49	A
USGS	07374525	2009-01-25	11.04	A
USGS	07374525	2009-01-26	10.56	A
USGS	07374525	2009-01-27	10.12	A
USGS	07374525	2009-01-28	9.65	A
USGS	07374525	2009-01-29	9.27	A
USGS	07374525	2009-01-30	8.84	A
USGS	07374525	2009-01-31	8.52	A
USGS	07374525	2009-02-01	8.49	A
USGS	07374525	2009-02-02	8.76	A
USGS	07374525	2009-02-03	8.76	A
USGS	07374525	2009-02-04	8.53	A
USGS	07374525	2009-02-05	8.31	A:e
USGS	07374525	2009-02-06	8.50	A
USGS	07374525	2009-02-07	8.82	A
USGS	07374525	2009-02-08	9.13	A
USGS	07374525	2009-02-09	9.72	A
USGS	07374525	2009-02-10	10.30	A
USGS	07374525	2009-02-11	10.45	A
USGS	07374525	2009-02-12	10.05	A
USGS	07374525	2009-02-13	9.95	A
USGS	07374525	2009-02-14	9.91	A
USGS	07374525	2009-02-15	10.03	A
USGS	07374525	2009-02-16	10.06	A
USGS	07374525	2009-02-17	10.08	A
USGS	07374525	2009-02-18	10.24	A
USGS	07374525	2009-02-19	10.33	A
USGS	07374525	2009-02-20	10.42	A
USGS	07374525	2009-02-21	10.67	A
USGS	07374525	2009-02-22	10.91	A
USGS	07374525	2009-02-23	11.15	A
USGS	07374525	2009-02-24	11.28	A
USGS	07374525	2009-02-25	11.49	A
USGS	07374525	2009-02-26	11.72	A
USGS	07374525	2009-02-27	11.84	A
USGS	07374525	2009-02-28	11.76	A
USGS	07374525	2009-03-01	11.31	A
USGS	07374525	2009-03-02	11.18	A
USGS	07374525	2009-03-03	11.05	A
USGS	07374525	2009-03-04	10.96	A
USGS	07374525	2009-03-05	10.82	A
USGS	07374525	2009-03-06	10.66	A
USGS	07374525	2009-03-07	10.65	A
USGS	07374525	2009-03-08	10.71	A
USGS	07374525	2009-03-09	10.67	A
USGS	07374525	2009-03-10	10.64	A
USGS	07374525	2009-03-11	10.57	A
USGS	07374525	2009-03-12	10.44	A
USGS	07374525	2009-03-13	10.46	A
USGS	07374525	2009-03-14	10.50	A
USGS	07374525	2009-03-15	10.51	A
USGS	07374525	2009-03-16	10.63	A
USGS	07374525	2009-03-17	10.66	A
USGS	07374525	2009-03-18	10.85	A
USGS	07374525	2009-03-19	11.00	A
USGS	07374525	2009-03-20	11.14	A
USGS	07374525	2009-03-21	11.33	A
USGS	07374525	2009-03-22	11.52	A
USGS	07374525	2009-03-23	11.82	A
USGS	07374525	2009-03-24	12.25	A
USGS	07374525	2009-03-25	12.55	A
USGS	07374525	2009-03-26	12.81	A
USGS	07374525	2009-03-27	13.44	A
USGS	07374525	2009-03-28	13.79	A
USGS	07374525	2009-03-29	13.40	A
USGS	07374525	2009-03-30	13.51	A
USGS	07374525	2009-03-31	13.56	A
USGS	07374525	2009-04-01	13.61	A
USGS	07374525	2009-04-02	13.84	A
USGS	07374525	2009-04-03	13.54	A
USGS	07374525	2009-04-04	13.57	A
USGS	07374525	2009-04-05	13.65	A
USGS	07374525	2009-04-06	13.45	A
USGS	07374525	2009-04-07	13.53	A
USGS	07374525	2009-04-08	13.76	A
USGS	07374525	2009-04-09	13.96	A
USGS	07374525	2009-04-10	14.24	A
USGS	07374525	2009-04-11	14.13	A
USGS	07374525	2009-04-12	14.46	A
USGS	07374525	2009-04-13	14.49	A
USGS	07374525	2009-04-14	14.44	A
USGS	07374525	2009-04-15	14.45	A
USGS	07374525	2009-04-16	14.43	A
USGS	07374525	2009-04-17	14.60	A
USGS	07374525	2009-04-18	14.65	A
USGS	07374525	2009-04-19	14.67	A
USGS	07374525	2009-04-20	14.45	A
USGS	07374525	2009-04-21	14.43	A
USGS	07374525	2009-04-22	14.35	A
USGS	07374525	2009-04-23	14.26	A
USGS	07374525	2009-04-24	14.37	A
USGS	07374525	2009-04-25	14.39	A
USGS	07374525	2009-04-26	14.48	A
USGS	07374525	2009-04-27	14.56	A
USGS	07374525	2009-04-28	14.47	A
USGS	07374525	2009-04-29	14.37	A
USGS	07374525	2009-04-30	14.42	A
USGS	07374525	2009-05-01	14.28	A
USGS	07374525	2009-05-02	14.25	A
USGS	07374525	2009-05-03	14.32	A
USGS	07374525	2009-05-04	14.24	A
USGS	07374525	2009-05-05	14.13	A
USGS	07374525	2009-05-06	14.25	A
USGS	07374525	2009-05-07	14.26	A
USGS	07374525	2009-05-08	14.41	A
USGS	07374525	2009-05-09	14.56	A
USGS	07374525	2009-05-10	14.63	A
USGS	07374525	2009-05-11	14.77	A
USGS	07374525	2009-05-12	15.00	A
USGS	07374525	2009-05-13	15.24	A
USGS	07374525	2009-05-14	15.44	A
USGS	07374525	2009-05-15	15.60	A
USGS	07374525	2009-05-16	15.83	A
USGS	07374525	2009-05-17	16.09	A
USGS	07374525	2009-05-18	16.35	A
USGS	07374525	2009-05-19	16.68	A
USGS	07374525	2009-05-20	16.79	A
USGS	07374525	2009-05-21	17.04	A
USGS	07374525	2009-05-22	17.28	A
USGS	07374525	2009-05-23	17.42	A
USGS	07374525	2009-05-24	17.40	A
USGS	07374525	2009-05-25	17.36	A
USGS	07374525	2009-05-26	17.32	A
USGS	07374525	2009-05-27	17.31	A
USGS	07374525	2009-05-28	17.37	A
USGS	07374525	2009-05-29	17.44	A
USGS	07374525	2009-05-30	17.54	A
USGS	07374525	2009-05-31	17.58	A
USGS	07374525	2009-06-01	17.59	A
USGS	07374525	2009-06-02	17.57	A
USGS	07374525	2009-06-03	17.50	A
USGS	07374525	2009-06-04	17.39	A
USGS	07374525	2009-06-05	17.24	A
USGS	07374525	2009-06-06	17.18	A
USGS	07374525	2009-06-07	17.04	A
USGS	07374525	2009-06-08	16.87	A
USGS	07374525	2009-06-09	16.67	A
USGS	07374525	2009-06-10	16.43	A
USGS	07374525	2009-06-11	16.25	A
USGS	07374525	2009-06-12	15.97	A
USGS	07374525	2009-06-13	15.71	A
USGS	07374525	2009-06-14	15.46	A
USGS	07374525	2009-06-15	15.24	A
USGS	07374525	2009-06-16	15.00	A
USGS	07374525	2009-06-17	14.71	A
USGS	07374525	2009-06-18	14.48	A
USGS	07374525	2009-06-19	14.34	A
USGS	07374525	2009-06-20	14.19	A
USGS	07374525	2009-06-21	14.07	A
USGS	07374525	2009-06-22	13.99	A
USGS	07374525	2009-06-23	13.92	A
USGS	07374525	2009-06-24	13.87	A
USGS	07374525	2009-06-25	13.89	A
USGS	07374525	2009-06-26	13.90	A
USGS	07374525	2009-06-27	13.84	A
USGS	07374525	2009-06-28	13.72	A
USGS	07374525	2009-06-29	13.70	A
USGS	07374525	2009-06-30	13.70	A
USGS	07374525	2009-07-01	13.66	A
USGS	07374525	2009-07-02	13.56	A
USGS	07374525	2009-07-03	13.36	A
USGS	07374525	2009-07-04	13.22	A
USGS	07374525	2009-07-05	13.11	A
USGS	07374525	2009-07-06	12.84	A
USGS	07374525	2009-07-07	12.54	A
USGS	07374525	2009-07-08	12.08	A
USGS	07374525	2009-07-09	11.59	A
USGS	07374525	2009-07-10	11.07	A
USGS	07374525	2009-07-11	10.57	A
USGS	07374525	2009-07-12	10.15	A
USGS	07374525	2009-07-13	9.89	A
USGS	07374525	2009-07-14	9.71	A
USGS	07374525	2009-07-15	9.48	A
USGS	07374525	2009-07-16	9.39	A
USGS	07374525	2009-07-17	9.31	A
USGS	07374525	2009-07-18	9.15	A
USGS	07374525	2009-07-19	9.12	A
USGS	07374525	2009-07-20	9.12	A
USGS	07374525	2009-07-21	9.16	A
USGS	07374525	2009-07-22	9.08	A
USGS	07374525	2009-07-23	8.95	A
USGS	07374525	2009-07-24	9.01	A
USGS	07374525	2009-07-25	9.01	A
USGS	07374525	2009-07-26	9.03	A
USGS	07374525	2009-07-27	8.97	A
USGS	07374525	2009-07-28	9.03	A
USGS	07374525	2009-07-29	9.05	A
USGS	07374525	2009-07-30	9.03	A
USGS	07374525	2009-07-31	9.05	A
USGS	07374525	2009-08-01	9.08	A
USGS	07374525	2009-08-02	9.18	A
USGS	07374525	2009-08-03	9.30	A
USGS	07374525	2009-08-04	9.41	A
USGS	07374525	2009-08-05	9.50	A
USGS	07374525	2009-08-06	9.59	A
USGS	07374525	2009-08-07	9.69	A
USGS	07374525	2009-08-08	9.84	A
USGS	07374525	2009-08-09	9.96	A
USGS	07374525	2009-08-10	10.07	A
USGS	07374525	2009-08-11	10.15	A
USGS	07374525	2009-08-12	10.19	A
USGS	07374525	2009-08-13	10.16	A
USGS	07374525	2009-08-14	10.18	A
USGS	07374525	2009-08-15	10.32	A
USGS	07374525	2009-08-16	10.38	A
USGS	07374525	2009-08-17	10.35	A
USGS	07374525	2009-08-18	10.05	A
USGS	07374525	2009-08-19	9.89	A
USGS	07374525	2009-08-20	9.75	A
USGS	07374525	2009-08-21	9.48	A
USGS	07374525	2009-08-22	9.26	A
USGS	07374525	2009-08-23	9.09	A
USGS	07374525	2009-08-24	9.08	A
USGS	07374525	2009-08-25	8.99	A
USGS	07374525	2009-08-26	8.93	A
USGS	07374525	2009-08-27	9.10	A
USGS	07374525	2009-08-28	9.17	A
USGS	07374525	2009-08-29	9.16	A
USGS	07374525	2009-08-30	9.10	A
USGS	07374525	2009-08-31	9.02	A
USGS	07374525	2009-09-01	9.00	A
USGS	07374525	2009-09-02	9.14	A
USGS	07374525	2009-09-03	9.27	A
USGS	07374525	2009-09-04	9.33	A
USGS	07374525	2009-09-05	9.23	A
USGS	07374525	2009-09-06	9.05	A
USGS	07374525	2009-09-07	8.87	A
USGS	07374525	2009-09-08	8.98	A
USGS	07374525	2009-09-09	9.02	A
USGS	07374525	2009-09-10	9.14	A
USGS	07374525	2009-09-11	9.30	A
USGS	07374525	2009-09-12	9.62	A
USGS	07374525	2009-09-13	9.60	A
USGS	07374525	2009-09-14	9.70	A
USGS	07374525	2009-09-15	9.50	A
USGS	07374525	2009-09-16	9.45	A
USGS	07374525	2009-09-17	9.31	A
USGS	07374525	2009-09-18	9.28	A
USGS	07374525	2009-09-19	9.25	A
USGS	07374525	2009-09-20	9.21	A
USGS	07374525	2009-09-21	9.28	A
USGS	07374525	2009-09-22	9.53	A
USGS	07374525	2009-09-23	9.70	A
USGS	07374525	2009-09-24	9.81	A
USGS	07374525	2009-09-25	9.89	A
USGS	07374525	2009-09-26	9.85	A
USGS	07374525	2009-09-27	9.84	A
USGS	07374525	2009-09-28	9.87	A
USGS	07374525	2009-09-29	9.92	A
USGS	07374525	2009-09-30	10.00	A
USGS	07374525	2009-10-01	10.00	A
USGS	07374525	2009-10-02	10.14	A
USGS	07374525	2009-10-03	10.09	A
USGS	07374525	2009-10-04	10.29	A
USGS	07374525	2009-10-05	10.23	A
USGS	07374525	2009-10-06	10.27	A
USGS	07374525	2009-10-07	10.42	A
USGS	07374525	2009-10-08	10.48	A
USGS	07374525	2009-10-09	10.69	A
USGS	07374525	2009-10-10	10.54	A
USGS	07374525	2009-10-11	10.63	A
USGS	07374525	2009-10-12	10.52	A
USGS	07374525	2009-10-13	10.43	A
USGS	07374525	2009-10-14	10.56	A
USGS	07374525	2009-10-15	10.94	A
USGS	07374525	2009-10-16	11.48	A
USGS	07374525	2009-10-17	12.01	A
USGS	07374525	2009-10-18	12.51	A
USGS	07374525	2009-10-19	13.02	A
USGS	07374525	2009-10-20	13.49	A
USGS	07374525	2009-10-21	14.19	A
USGS	07374525	2009-10-22	14.73	A
USGS	07374525	2009-10-23	14.74	A
USGS	07374525	2009-10-24	14.57	A
USGS	07374525	2009-10-25	14.63	A
USGS	07374525	2009-10-26	14.49	A
USGS	07374525	2009-10-27	14.59	A
USGS	07374525	2009-10-28	14.54	A
USGS	07374525	2009-10-29	14.67	A
USGS	07374525	2009-10-30	14.69	A
USGS	07374525	2009-10-31	14.47	A
USGS	07374525	2009-11-01	14.52	A
USGS	07374525	2009-11-02	14.64	A
USGS	07374525	2009-11-03	14.74	A
USGS	07374525	2009-11-04	14.95	A
USGS	07374525	2009-11-05	15.20	A
USGS	07374525	2009-11-06	15.36	A
USGS	07374525	2009-11-07	15.51	A
USGS	07374525	2009-11-08	15.77	A
USGS	07374525	2009-11-09	16.87	A
USGS	07374525	2009-11-10	16.81	A
USGS	07374525	2009-11-11	16.09	A
USGS	07374525	2009-11-12	16.04	A
USGS	07374525	2009-11-13	16.02	A
USGS	07374525	2009-11-14	15.97	A
USGS	07374525	2009-11-15	15.95	A
USGS	07374525	2009-11-16	15.86	A
USGS	07374525	2009-11-17	15.72	A
USGS	07374525	2009-11-18	15.72	A
USGS	07374525	2009-11-19	15.64	A
USGS	07374525	2009-11-20	15.52	A
USGS	07374525	2009-11-21	15.45	A
USGS	07374525	2009-11-22	15.30	A
USGS	07374525	2009-11-23	14.98	A
USGS	07374525	2009-11-24	14.79	A
USGS	07374525	2009-11-25	14.65	A
USGS	07374525	2009-11-26	14.51	A
USGS	07374525	2009-11-27	14.31	A
USGS	07374525	2009-11-28	14.30	A
USGS	07374525	2009-11-29	14.32	A
USGS	07374525	2009-11-30	14.28	A
USGS	07374525	2009-12-01	14.50	A
USGS	07374525	2009-12-02	14.65	A
USGS	07374525	2009-12-03	13.98	A
USGS	07374525	2009-12-04	13.80	A
USGS	07374525	2009-12-05	13.50	A
USGS	07374525	2009-12-06	13.18	A
USGS	07374525	2009-12-07	13.01	A
USGS	07374525	2009-12-08	13.13	A
USGS	07374525	2009-12-09	12.76	A
USGS	07374525	2009-12-10	12.59	A
USGS	07374525	2009-12-11	12.66	A
USGS	07374525	2009-12-12	12.77	A
USGS	07374525	2009-12-13	12.69	A
USGS	07374525	2009-12-14	12.67	A
USGS	07374525	2009-12-15	12.84	A
USGS	07374525	2009-12-16	13.17	A
USGS	07374525	2009-12-17	13.55	A
USGS	07374525	2009-12-18	14.10	A
USGS	07374525	2009-12-19	13.83	A
USGS	07374525	2009-12-20	13.84	A
USGS	07374525	2009-12-21	13.93	A
USGS	07374525	2009-12-22	14.25	A
USGS	07374525	2009-12-23	14.54	A
USGS	07374525	2009-12-24	14.98	A
USGS	07374525	2009-12-25	14.61	A
USGS	07374525	2009-12-26	14.53	A
USGS	07374525	2009-12-27	14.45	A
USGS	07374525	2009-12-28	14.33	A
USGS	07374525	2009-12-29	14.48	A
USGS	07374525	2009-12-30	14.67	A
USGS	07374525	2009-12-31	14.85	A
USGS	07374525	2010-01-01	14.85	A
USGS	07374525	2010-01-02	14.95	A
USGS	07374525	2010-01-03	14.99	A
USGS	07374525	2010-01-04	14.98	A
USGS	07374525	2010-01-05	14.93	A
USGS	07374525	2010-01-06	14.99	A
USGS	07374525	2010-01-07	15.09	A
USGS	07374525	2010-01-08	15.03	A
USGS	07374525	2010-01-09	15.00	A
USGS	07374525	2010-01-10	14.83	A
USGS	07374525	2010-01-11	14.61	A
USGS	07374525	2010-01-12	14.33	A
USGS	07374525	2010-01-13	14.11	A
USGS	07374525	2010-01-14	13.91	A
USGS	07374525	2010-01-15	13.85	A
USGS	07374525	2010-01-16	14.05	A
USGS	07374525	2010-01-17	13.30	A
USGS	07374525	2010-01-18	12.68	A
USGS	07374525	2010-01-19	12.30	A
USGS	07374525	2010-01-20	12.12	A
USGS	07374525	2010-01-21	12.02	A
USGS	07374525	2010-01-22	11.71	A
USGS	07374525	2010-01-23	11.81	A
USGS	07374525	2010-01-24	11.92	A
USGS	07374525	2010-01-25	11.62	A
USGS	07374525	2010-01-26	11.60	A
USGS	07374525	2010-01-27	11.83	A
USGS	07374525	2010-01-28	12.24	A
USGS	07374525	2010-01-29	12.94	A
USGS	07374525	2010-01-30	13.17	A
USGS	07374525	2010-01-31	13.69	A
USGS	07374525	2010-02-01	14.14	A
USGS	07374525	2010-02-02	14.43	A
USGS	07374525	2010-02-03	14.69	A
USGS	07374525	2010-02-04	15.06	A
USGS	07374525	2010-02-05	15.28	A
USGS	07374525	2010-02-06	15.12	A
USGS	07374525	2010-02-07	15.24	A
USGS	07374525	2010-02-08	15.51	A
USGS	07374525	2010-02-09	15.53	A
USGS	07374525	2010-02-10	15.51	A
USGS	07374525	2010-02-11	15.70	A
USGS	07374525	2010-02-12	15.98	A
USGS	07374525	2010-02-13	15.97	A
USGS	07374525	2010-02-14	15.94	A
USGS	07374525	2010-02-15	15.86	A
USGS	07374525	2010-02-16	15.88	A
USGS	07374525	2010-02-17	15.84	A
USGS	07374525	2010-02-18	15.76	A
USGS	07374525	2010-02-19	15.80	A
USGS	07374525	2010-02-20	15.79	A
USGS	07374525	2010-02-21	15.79	A
USGS	07374525	2010-02-22	15.68	A
USGS	07374525	2010-02-23	15.50	A
USGS	07374525	2010-02-24	15.23	A
USGS	07374525	2010-02-25	14.99	A
USGS	07374525	2010-02-26	14.82	A
USGS	07374525	2010-02-27	14.58	A
USGS	07374525	2010-02-28	14.32	A
USGS	07374525	2010-03-01	14.23	A
USGS	07374525	2010-03-02	14.16	A
USGS	07374525	2010-03-03	13.86	A
USGS	07374525	2010-03-04	13.82	A
USGS	07374525	2010-03-05	13.72	A
USGS	07374525	2010-03-06	13.65	A
USGS	07374525	2010-03-07	13.63	A
USGS	07374525	2010-03-08	13.57	A
USGS	07374525	2010-03-09	13.62	A
USGS	07374525	2010-03-10	13.50	A
USGS	07374525	2010-03-11	13.32	A
USGS	07374525	2010-03-12	12.99	A
USGS	07374525	2010-03-13	12.49	A
USGS	07374525	2010-03-14	12.14	A
USGS	07374525	2010-03-15	11.80	A
USGS	07374525	2010-03-16	11.67	A
USGS	07374525	2010-03-17	11.63	A
USGS	07374525	2010-03-18	11.58	A
USGS	07374525	2010-03-19	11.74	A
USGS	07374525	2010-03-20	12.06	A
USGS	07374525	2010-03-21	12.34	A
USGS	07374525	2010-03-22	12.28	A
USGS	07374525	2010-03-23	12.64	A
USGS	07374525	2010-03-24	13.05	A
USGS	07374525	2010-03-25	13.51	A
USGS	07374525	2010-03-26	13.68	A
USGS	07374525	2010-03-27	14.09	A
USGS	07374525	2010-03-28	14.23	A
USGS	07374525	2010-03-29	14.35	A
USGS	07374525	2010-03-30	14.49	A
USGS	07374525	2010-03-31	14.51	A
USGS	07374525	2010-04-01	14.67	A
USGS	07374525	2010-04-02	14.91	A
USGS	07374525	2010-04-03	14.97	A
USGS	07374525	2010-04-04	15.04	A
USGS	07374525	2010-04-05	15.05	A
USGS	07374525	2010-04-06	15.07	A
USGS	07374525	2010-04-07	15.13	A
USGS	07374525	2010-04-08	15.06	A
USGS	07374525	2010-04-09	15.09	A
USGS	07374525	2010-04-10	15.07	A
USGS	07374525	2010-04-11	15.01	A
USGS	07374525	2010-04-12	15.01	A
USGS	07374525	2010-04-13	15.07	A
USGS	07374525	2010-04-14	15.10	A
USGS	07374525	2010-04-15	15.10	A
USGS	07374525	2010-04-16	14.93	A
USGS	07374525	2010-04-17	14.72	A
USGS	07374525	2010-04-18	14.57	A
USGS	07374525	2010-04-19	14.42	A
USGS	07374525	2010-04-20	14.23	A
USGS	07374525	2010-04-21	14.02	A
USGS	07374525	2010-04-22	13.84	A
USGS	07374525	2010-04-23	13.77	A
USGS	07374525	2010-04-24	13.75	A
USGS	07374525	2010-04-25	13.17	A
USGS	07374525	2010-04-26	12.62	A
USGS	07374525	2010-04-27	12.11	A
USGS	07374525	2010-04-28	11.67	A
USGS	07374525	2010-04-29	11.51	A
USGS	07374525	2010-04-30	11.47	A
USGS	07374525	2010-05-01	11.39	A
USGS	07374525	2010-05-02	11.28	A
USGS	07374525	2010-05-03	10.90	A
USGS	07374525	2010-05-04	10.90	A
USGS	07374525	2010-05-05	11.15	A
USGS	07374525	2010-05-06	11.42	A
USGS	07374525	2010-05-07	11.71	A
USGS	07374525	2010-05-08	11.85	A
USGS	07374525	2010-05-09	12.34	A
USGS	07374525	2010-05-10	12.71	A
USGS	07374525	2010-05-11	13.09	A
USGS	07374525	2010-05-12	13.47	A
USGS	07374525	2010-05-13	13.92	A
USGS	07374525	2010-05-14	14.24	A
USGS	07374525	2010-05-15	14.57	A
USGS	07374525	2010-05-16	14.84	A
USGS	07374525	2010-05-17	14.91	A
USGS	07374525	2010-05-18	15.06	A
USGS	07374525	2010-05-19	15.11	A
USGS	07374525	2010-05-20	15.21	A
USGS	07374525	2010-05-21	15.28	A
USGS	07374525	2010-05-22	15.40	A
USGS	07374525	2010-05-23	15.48	A
USGS	07374525	2010-05-24	15.50	A
USGS	07374525	2010-05-25	15.55	A
USGS	07374525	2010-05-26	15.60	A
USGS	07374525	2010-05-27	15.64	A
USGS	07374525	2010-05-28	15.60	A
USGS	07374525	2010-05-29	15.68	A
USGS	07374525	2010-05-30	15.71	A
USGS	07374525	2010-05-31	15.65	A
USGS	07374525	2010-06-01	15.60	A
USGS	07374525	2010-06-02	15.59	A
USGS	07374525	2010-06-03	15.62	A
USGS	07374525	2010-06-04	15.64	A
USGS	07374525	2010-06-05	15.58	A
USGS	07374525	2010-06-06	15.43	A
USGS	07374525	2010-06-07	15.27	A
USGS	07374525	2010-06-08	15.08	A
USGS	07374525	2010-06-09	14.88	A
USGS	07374525	2010-06-10	14.67	A
USGS	07374525	2010-06-11	14.46	A
USGS	07374525	2010-06-12	14.07	A
USGS	07374525	2010-06-13	13.69	A
USGS	07374525	2010-06-14	13.35	A
USGS	07374525	2010-06-15	13.04	A
USGS	07374525	2010-06-16	12.69	A
USGS	07374525	2010-06-17	12.41	A
USGS	07374525	2010-06-18	12.20	A
USGS	07374525	2010-06-19	12.13	A
USGS	07374525	2010-06-20	12.12	A
USGS	07374525	2010-06-21	12.26	A
USGS	07374525	2010-06-22	12.43	A
USGS	07374525	2010-06-23	12.47	A
USGS	07374525	2010-06-24	12.52	A
USGS	07374525	2010-06-25	12.65	A
USGS	07374525	2010-06-26	12.82	A
USGS	07374525	2010-06-27	13.03	A
USGS	07374525	2010-06-28	13.16	A
USGS	07374525	2010-06-29	13.25	A
USGS	07374525	2010-06-30	13.27	A
USGS	07374525	2010-07-01	13.26	A
USGS	07374525	2010-07-02	13.15	A
USGS	07374525	2010-07-03	13.31	A
USGS	07374525	2010-07-04	13.57	A
USGS	07374525	2010-07-05	13.64	A
USGS	07374525	2010-07-06	13.67	A
USGS	07374525	2010-07-07	13.66	A
USGS	07374525	2010-07-08	13.57	A
USGS	07374525	2010-07-09	13.51	A
USGS	07374525	2010-07-10	13.40	A
USGS	07374525	2010-07-11	13.34	A
USGS	07374525	2010-07-12	13.25	A
USGS	07374525	2010-07-13	13.07	A
USGS	07374525	2010-07-14	12.92	A
USGS	07374525	2010-07-15	12.86	A
USGS	07374525	2010-07-16	12.85	A
USGS	07374525	2010-07-17	12.84	A
USGS	07374525	2010-07-18	12.80	A
USGS	07374525	2010-07-19	12.73	A
USGS	07374525	2010-07-20	12.75	A
USGS	07374525	2010-07-21	12.74	A
USGS	07374525	2010-07-22	12.74	A
USGS	07374525	2010-07-23	12.79	A
USGS	07374525	2010-07-24	12.75	A
USGS	07374525	2010-07-25	12.85	A
USGS	07374525	2010-07-26	12.53	A
USGS	07374525	2010-07-27	12.09	A
USGS	07374525	2010-07-28	11.89	A
USGS	07374525	2010-07-29	11.68	A
USGS	07374525	2010-07-30	11.59	A
USGS	07374525	2010-07-31	11.61	A
USGS	07374525	2010-08-01	11.64	A
USGS	07374525	2010-08-02	11.73	A
USGS	07374525	2010-08-03	11.72	A
USGS	07374525	2010-08-04	11.69	A
USGS	07374525	2010-08-05	11.71	A
USGS	07374525	2010-08-06	11.64	A
USGS	07374525	2010-08-07	11.58	A
USGS	07374525	2010-08-08	11.46	A
USGS	07374525	2010-08-09	11.38	A
USGS	07374525	2010-08-10	11.35	A
USGS	07374525	2010-08-11	11.56	A
USGS	07374525	2010-08-12	11.64	A
USGS	07374525	2010-08-13	11.37	A
USGS	07374525	2010-08-14	11.04	A
USGS	07374525	2010-08-15	10.87	A
USGS	07374525	2010-08-16	10.70	A
USGS	07374525	2010-08-17	10.76	A
USGS	07374525	2010-08-18	10.67	A
USGS	07374525	2010-08-19	10.62	A
USGS	07374525	2010-08-20	10.58	A
USGS	07374525	2010-08-21	10.30	A
USGS	07374525	2010-08-22	10.02	A
